Country,Area,Months,Year,temperature,MonthCode
GUA,Guatemala,June,1961,-0.262,6
GUA,Guatemala,July,1961,-0.241,7
GUA,Guatemala,August,1961,-0.233,8
GUA,Guatemala,September,1961,-0.409,9
GUA,Guatemala,October,1961,-0.077,10
GUA,Guatemala,November,1961,-0.001,11
GUA,Guatemala,December,1961,0.593,12
GUY,Guyana,January,1961,0.192,1
GUY,Guyana,February,1961,-0.081,2
GUY,Guyana,March,1961,0.122,3
GUY,Guyana,April,1961,0.147,4
GUY,Guyana,May,1961,0.197,5
GUY,Guyana,June,1961,-0.486,6
GUY,Guyana,July,1961,-0.17,7
GUY,Guyana,August,1961,0.169,8
GUY,Guyana,September,1961,0.292,9
GUY,Guyana,October,1961,0.052,10
GUY,Guyana,November,1961,-0.531,11
GUY,Guyana,December,1961,-0.457,12
HAI,Haiti,January,1961,0.663,1
HAI,Haiti,February,1961,0.601,2
HAI,Haiti,March,1961,0.078,3
HAI,Haiti,April,1961,0.355,4
HAI,Haiti,May,1961,-0.073,5
HAI,Haiti,June,1961,0.008,6
HAI,Haiti,July,1961,-0.146,7
HAI,Haiti,August,1961,0.02,8
HAI,Haiti,September,1961,-0.166,9
HAI,Haiti,October,1961,-0.483,10
HAI,Haiti,November,1961,-1.218,11
HAI,Haiti,December,1961,-0.413,12
HUN,Hungary,January,1961,-0.088,1
HUN,Hungary,February,1961,1.694,2
HUN,Hungary,March,1961,2.722,3
HUN,Hungary,April,1961,3.21,4
HUN,Hungary,May,1961,-1.228,5
HUN,Hungary,June,1961,0.816,6
HUN,Hungary,July,1961,-1.007,7
HUN,Hungary,August,1961,0.056,8
HUN,Hungary,September,1961,1.84,9
HUN,Hungary,October,1961,2.06,10
HUN,Hungary,November,1961,0.805,11
HUN,Hungary,December,1961,-1.591,12
ISL,Iceland,January,1961,2.138,1
ISL,Iceland,February,1961,0.776,2
ISL,Iceland,March,1961,0.024,3
ISL,Iceland,April,1961,-1.454,4
ISL,Iceland,May,1961,1.795,5
ISL,Iceland,June,1961,-0.213,6
ISL,Iceland,July,1961,0.076,7
ISL,Iceland,August,1961,0.156,8
ISL,Iceland,September,1961,1.322,9
ISL,Iceland,October,1961,1.019,10
ISL,Iceland,November,1961,0.731,11
ISL,Iceland,December,1961,-1.514,12
IND,India,January,1961,0.536,1
