Country,Area,Months,Year,temperature
GER,Germany,January,1961,-0.202
GER,Germany,February,1961,4.191
GER,Germany,March,1961,2.76
GER,Germany,April,1961,3.226
GER,Germany,May,1961,-1.322
GER,Germany,June,1961,0.487
GER,Germany,July,1961,-1.548
GER,Germany,August,1961,-0.518
GER,Germany,September,1961,3.073
GER,Germany,October,1961,1.763
GER,Germany,November,1961,-0.353
GER,Germany,December,1961,-1.391
GHA,Ghana,January,1961,0.081
GHA,Ghana,February,1961,-0.554
GHA,Ghana,March,1961,0.063
GHA,Ghana,April,1961,-0.18
GHA,Ghana,May,1961,0.482
GHA,Ghana,June,1961,-0.155
GHA,Ghana,July,1961,-0.237
GHA,Ghana,August,1961,-0.425
GHA,Ghana,September,1961,-0.253
GHA,Ghana,October,1961,0.262
GHA,Ghana,November,1961,-0.055
GHA,Ghana,December,1961,-0.359
GRE,Greece,January,1961,0.236
GRE,Greece,February,1961,-1.188
GRE,Greece,March,1961,0.891
GRE,Greece,April,1961,1.887
GRE,Greece,May,1961,0.154
GRE,Greece,June,1961,0.004
GRE,Greece,July,1961,-0.267
GRE,Greece,August,1961,0.038
GRE,Greece,September,1961,-0.533
GRE,Greece,October,1961,-0.07
GRE,Greece,November,1961,1.608
GRE,Greece,December,1961,0.355
GRN,Grenada,January,1961,0.505
GRN,Grenada,February,1961,0.226
GRN,Grenada,March,1961,0.304
GRN,Grenada,April,1961,0.549
GRN,Grenada,May,1961,0.337
GRN,Grenada,June,1961,0.061
GRN,Grenada,July,1961,0.068
GRN,Grenada,August,1961,0.387
GRN,Grenada,September,1961,0.105
GRN,Grenada,October,1961,-0.349
GRN,Grenada,November,1961,-0.226
GRN,Grenada,December,1961,0.263
GUA,Guatemala,January,1961,0.301
GUA,Guatemala,February,1961,0.164
GUA,Guatemala,March,1961,0.218
GUA,Guatemala,April,1961,0.237
GUA,Guatemala,May,1961,-0.091
GUA,Guatemala,June,1961,-0.262
GUA,Guatemala,July,1961,-0.241
GUA,Guatemala,August,1961,-0.233
GUA,Guatemala,September,1961,-0.409
GUA,Guatemala,October,1961,-0.077
GUA,Guatemala,November,1961,-0.001
GUA,Guatemala,December,1961,0.593
GUY,Guyana,January,1961,0.192
GUY,Guyana,February,1961,-0.081
GUY,Guyana,March,1961,0.122
GUY,Guyana,April,1961,0.147
GUY,Guyana,May,1961,0.197
GUY,Guyana,June,1961,-0.486
GUY,Guyana,July,1961,-0.17
GUY,Guyana,August,1961,0.169
GUY,Guyana,September,1961,0.292
GUY,Guyana,October,1961,0.052
GUY,Guyana,November,1961,-0.531
GUY,Guyana,December,1961,-0.457
HAI,Haiti,January,1961,0.663
HAI,Haiti,February,1961,0.601
HAI,Haiti,March,1961,0.078
HAI,Haiti,April,1961,0.355
HAI,Haiti,May,1961,-0.073
HAI,Haiti,June,1961,0.008
HAI,Haiti,July,1961,-0.146
HAI,Haiti,August,1961,0.02
HAI,Haiti,September,1961,-0.166
HAI,Haiti,October,1961,-0.483
HAI,Haiti,November,1961,-1.218
HAI,Haiti,December,1961,-0.413
HUN,Hungary,January,1961,-0.088
HUN,Hungary,February,1961,1.694
HUN,Hungary,March,1961,2.722
HUN,Hungary,April,1961,3.21
HUN,Hungary,May,1961,-1.228
HUN,Hungary,June,1961,0.816
HUN,Hungary,July,1961,-1.007
HUN,Hungary,August,1961,0.056
HUN,Hungary,September,1961,1.84
HUN,Hungary,October,1961,2.06
HUN,Hungary,November,1961,0.805
HUN,Hungary,December,1961,-1.591
ISL,Iceland,January,1961,2.138
ISL,Iceland,February,1961,0.776
ISL,Iceland,March,1961,0.024
ISL,Iceland,April,1961,-1.454
ISL,Iceland,May,1961,1.795
ISL,Iceland,June,1961,-0.213
ISL,Iceland,July,1961,0.076
ISL,Iceland,August,1961,0.156
ISL,Iceland,September,1961,1.322
ISL,Iceland,October,1961,1.019
ISL,Iceland,November,1961,0.731
ISL,Iceland,December,1961,-1.514
IND,India,January,1961,0.536
IND,India,February,1961,-1.413
IND,India,March,1961,0.499
IND,India,April,1961,0.026
IND,India,May,1961,-0.144
IND,India,June,1961,-0.589
IND,India,July,1961,-0.293
IND,India,August,1961,0.065
IND,India,September,1961,-0.348
IND,India,October,1961,-0.78
IND,India,November,1961,-1.021
IND,India,December,1961,-1.735
INA,Indonesia,January,1961,-0.062
INA,Indonesia,February,1961,0.152
INA,Indonesia,March,1961,0.198
INA,Indonesia,April,1961,0.064
INA,Indonesia,May,1961,-0.003
INA,Indonesia,June,1961,-0.412
INA,Indonesia,July,1961,-0.258
INA,Indonesia,August,1961,-0.364
INA,Indonesia,September,1961,-0.295
INA,Indonesia,October,1961,-0.003
INA,Indonesia,November,1961,0.148
INA,Indonesia,December,1961,0.191
IRI,Iran,January,1961,0.434
IRI,Iran,February,1961,-0.63
IRI,Iran,March,1961,-0.479
IRI,Iran,April,1961,-1.345
IRI,Iran,May,1961,1.233
IRI,Iran,June,1961,0.189
IRI,Iran,July,1961,0.47
IRI,Iran,August,1961,-0.076
IRI,Iran,September,1961,0.166
IRI,Iran,October,1961,-0.761
IRI,Iran,November,1961,-0.098
IRI,Iran,December,1961,1.671
IRQ,Iraq,January,1961,0.146
IRQ,Iraq,February,1961,-0.539
IRQ,Iraq,March,1961,-1.949
IRQ,Iraq,April,1961,-0.366
IRQ,Iraq,May,1961,0.987
IRQ,Iraq,June,1961,0.635
IRQ,Iraq,July,1961,0.269
IRQ,Iraq,August,1961,0.775
IRQ,Iraq,September,1961,-2.145
IRQ,Iraq,October,1961,-0.415
IRQ,Iraq,November,1961,-0.768
IRQ,Iraq,December,1961,1.144
IRL,Ireland,January,1961,0.033
IRL,Ireland,February,1961,2.883
IRL,Ireland,March,1961,2.437
IRL,Ireland,April,1961,1.325
IRL,Ireland,May,1961,0.105
IRL,Ireland,June,1961,-0.219
IRL,Ireland,July,1961,-0.786
IRL,Ireland,August,1961,-0.42
IRL,Ireland,September,1961,0.445
IRL,Ireland,October,1961,-0.54
IRL,Ireland,November,1961,-0.428
IRL,Ireland,December,1961,-2.015
ISR,Israel,January,1961,-0.055
ISR,Israel,February,1961,-1.786
ISR,Israel,March,1961,-1.743
ISR,Israel,April,1961,-0.09
ISR,Israel,May,1961,0.469
ISR,Israel,June,1961,1.108
ISR,Israel,July,1961,0.22
ISR,Israel,August,1961,0.217
ISR,Israel,September,1961,-1.679
ISR,Israel,October,1961,-0.771
ISR,Israel,November,1961,-0.856
ISR,Israel,December,1961,0.369
ITA,Italy,January,1961,-0.258
ITA,Italy,February,1961,1.402
ITA,Italy,March,1961,1.426
ITA,Italy,April,1961,2.742
ITA,Italy,May,1961,-0.013
ITA,Italy,June,1961,0.502
ITA,Italy,July,1961,-0.414
ITA,Italy,August,1961,0.15
ITA,Italy,September,1961,2.032
ITA,Italy,October,1961,1.008
ITA,Italy,November,1961,0.632
ITA,Italy,December,1961,0.035
JAM,Jamaica,January,1961,0.3
JAM,Jamaica,February,1961,0.6
JAM,Jamaica,March,1961,0.607
JAM,Jamaica,April,1961,0.085
JAM,Jamaica,May,1961,0.092
JAM,Jamaica,June,1961,0.393
JAM,Jamaica,July,1961,-0.5
JAM,Jamaica,August,1961,0.315
JAM,Jamaica,September,1961,-0.369
JAM,Jamaica,October,1961,-0.505
JAM,Jamaica,November,1961,-0.586
JAM,Jamaica,December,1961,0.099
JPN,Japan,January,1961,-0.981
JPN,Japan,February,1961,-0.628
JPN,Japan,March,1961,0.6
JPN,Japan,April,1961,0.761
JPN,Japan,May,1961,0.989
JPN,Japan,June,1961,0.818
JPN,Japan,July,1961,1.442
JPN,Japan,August,1961,0.692
JPN,Japan,September,1961,2.126
JPN,Japan,October,1961,1.602
JPN,Japan,November,1961,1.013
JPN,Japan,December,1961,0.424
KAZ,Kazakhstan,January,1961,NA
KAZ,Kazakhstan,February,1961,NA
KAZ,Kazakhstan,March,1961,NA
KAZ,Kazakhstan,April,1961,NA
KAZ,Kazakhstan,May,1961,NA
KAZ,Kazakhstan,June,1961,NA
KAZ,Kazakhstan,July,1961,NA
KAZ,Kazakhstan,August,1961,NA
KAZ,Kazakhstan,September,1961,NA
KAZ,Kazakhstan,October,1961,NA
KAZ,Kazakhstan,November,1961,NA
KAZ,Kazakhstan,December,1961,NA
KEN,Kenya,January,1961,0.46
KEN,Kenya,February,1961,0.125
KEN,Kenya,March,1961,0.551
KEN,Kenya,April,1961,0.412
KEN,Kenya,May,1961,0.837
KEN,Kenya,June,1961,0.864
KEN,Kenya,July,1961,0.731
KEN,Kenya,August,1961,0.258
KEN,Kenya,September,1961,-0.196
KEN,Kenya,October,1961,-0.328
KEN,Kenya,November,1961,-0.976
